Country,Subnational region,Module,Indicator,Configuration,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFRE,,Demographic Projection (DemProj),Defined age group,age 12; Total Region; Male+Female,8672584,8907008,9149185,9393648,9635568,9874026,10108940,10341946,10569946,10791559,11009486,11228326,11454574
AFRE,,Demographic Projection (DemProj),Defined age group,age 13; Total Region; Male+Female,8424330,8655761,8890634,9132624,9376346,9617314,9855238,10089974,10323088,10551246,10773208,10991414,11210582
AFRE,,Demographic Projection (DemProj),Defined age group,age 14; Total Region; Male+Female,8177113,8407663,8639526,8874182,9115396,9358041,9598421,9836063,10070792,10303937,10532340,10754491,10972980
AFRE,,Demographic Projection (DemProj),Defined age group,age 15; Total Region; Male+Female,7921757,8160314,8391266,8622843,8856652,9096632,9338596,9578546,9816020,10050620,10283860,10512330,10734694
AFRE,,Demographic Projection (DemProj),Defined age group,age 16; Total Region; Male+Female,7665383,7904715,8143591,8374168,8604798,8837192,9076380,9317741,9557335,9794497,10029033,10262207,10490808
AFRE,,Demographic Projection (DemProj),Defined age group,age 17; Total Region; Male+Female,7414867,7647991,7887674,8126064,8355611,8584662,8816180,9054634,9295468,9534570,9771502,10005843,10239046
AFRE,,Demographic Projection (DemProj),Defined age group,age 18; Total Region; Male+Female,7190621,7396990,7630717,7869853,8107134,8334973,8563094,8793795,9031582,9271764,9510482,9747080,9981359
AFRE,,Demographic Projection (DemProj),Defined age group,age 19; Total Region; Male+Female,6990692,7171962,7379455,7612607,7850583,8086021,8312868,8540096,8770020,9007014,9246672,9484926,9721376
AFRE,,Demographic Projection (DemProj),Defined age group,age 20; Total Region; Male+Female,6809245,6970939,7153981,7360950,7592918,7828949,8063312,8289203,8515555,8744564,8980897,9219975,9457974
AFRE,,Demographic Projection (DemProj),Defined age group,age 21; Total Region; Male+Female,6623637,6788252,6952361,7134942,7340781,7570732,7805637,8038964,8263874,8489194,8717434,8953064,9191800
AFRE,,Demographic Projection (DemProj),Defined age group,age 22; Total Region; Male+Female,6417594,6601484,6768955,6932658,7114184,7318017,7546817,7780641,8012874,8236643,8461086,8688548,8923761
AFRE,,Demographic Projection (DemProj),Defined age group,age 23; Total Region; Male+Female,6191029,6394536,6581431,6748487,6911191,7090750,7293478,7521170,7753831,7984824,8207639,8431237,8658253
AFRE,,Demographic Projection (DemProj),Defined age group,age 24; Total Region; Male+Female,5952217,6167235,6373654,6560069,6726118,6886917,7065436,7267117,7493633,7725005,7954970,8176905,8400026
AFRE,,Demographic Projection (DemProj),Defined age group,age 25; Total Region; Male+Female,5721260,5927700,6145433,6351321,6536696,6700868,6860720,7038285,7238881,7464105,7694420,7923444,8144880
AFRE,,Demographic Projection (DemProj),Defined age group,age 26; Total Region; Male+Female,5498225,5695962,5904998,6122173,6326968,6510434,6673665,6832662,7009244,7208643,7432819,7662178,7890657
AFRE,,Demographic Projection (DemProj),Defined age group,age 27; Total Region; Male+Female,5280103,5472135,5672372,5880902,6096952,6299788,6482249,6644622,6802723,6978207,7176639,7399860,7628637
AFRE,,Demographic Projection (DemProj),Defined age group,age 28; Total Region; Male+Female,5072899,5253236,5447699,5647493,5854963,6069049,6270804,6452332,6613805,6770884,6945472,7143020,7365650
AFRE,,Demographic Projection (DemProj),Defined age group,age 29; Total Region; Male+Female,4877491,5045137,5227929,5422012,5620829,5826438,6039399,6240147,6420690,6581132,6737390,6911177,7108213
AFRE,,Demographic Projection (DemProj),Defined age group,age 30; Total Region; Male+Female,4688898,4848789,5018944,5201458,5394633,5591701,5796247,6008147,6207817,6387239,6546840,6702373,6875731
AFRE,,Demographic Projection (DemProj),Defined age group,age 31; Total Region; Male+Female,4502623,4659383,4821775,4991750,5173455,5364968,5561029,5764550,5975307,6173760,6352236,6511099,6666271
AFRE,,Demographic Projection (DemProj),Defined age group,age 32; Total Region; Male+Female,4315712,4472494,4631667,4793942,4963198,5143351,5333887,5528962,5731380,5940857,6138263,6315895,6474371
AFRE,,Demographic Projection (DemProj),Defined age group,age 33; Total Region; Male+Female,4126338,4285182,4444209,4603277,4764885,4932696,5111926,5301496,5495510,5696701,5905065,6101528,6278662
AFRE,,Demographic Projection (DemProj),Defined age group,age 34; Total Region; Male+Female,3937753,4095490,4256354,4415271,4573693,4733935,4900894,5079222,5267768,5460618,5660745,5868100,6063943
AFRE,,Demographic Projection (DemProj),Defined age group,age 35; Total Region; Male+Female,3752785,3906774,4066277,4226977,4385224,4542305,4701729,4867850,5045230,5232657,5424505,5623671,5830322
AFRE,,Demographic Projection (DemProj),Defined age group,age 36; Total Region; Male+Female,3572038,3721992,3877491,4036771,4196726,4353613,4509855,4668464,4833716,5010062,5196532,5387472,5585960
AFRE,,Demographic Projection (DemProj),Defined age group,age 37; Total Region; Male+Female,3396405,3541805,3693013,3848225,4006700,4165240,4321237,4476650,4634429,4798735,4974196,5159787,5350078
AFRE,,Demographic Projection (DemProj),Defined age group,age 38; Total Region; Male+Female,3226899,3367070,3513492,3664333,3818670,3975679,4133239,4288353,4442932,4599814,4763311,4937961,5122910
AFRE,,Demographic Projection (DemProj),Defined age group,age 39; Total Region; Male+Female,3063248,3198597,3339612,3485581,3635476,3788312,3944270,4100874,4255123,4408816,4564939,4727703,4901760
AFRE,,Demographic Projection (DemProj),Defined age group,age 40; Total Region; Male+Female,2763537,3036004,3172056,3312549,3457518,3605883,3757625,3912576,4068270,4221622,4374570,4530006,4692241
AFRE,,Demographic Projection (DemProj),Defined age group,age 41; Total Region; Male+Female,2769797,2738744,3010427,3145901,3285359,3428790,3576033,3726745,3880755,4035516,4188106,4340371,4495302
AFRE,,Demographic Projection (DemProj),Defined age group,age 42; Total Region; Male+Female,2682355,2744615,2715450,2985225,3119651,3257586,3399887,3546086,3695843,3848891,4002835,4154707,4306447
AFRE,,Demographic Projection (DemProj),Defined age group,age 43; Total Region; Male+Female,2557363,2657779,2720922,2692514,2959975,3092906,3229720,3370976,3516213,3664997,3817192,3970359,4121658
AFRE,,Demographic Projection (DemProj),Defined age group,age 44; Total Region; Male+Female,2432665,2533994,2634744,2697731,2669629,2934382,3066190,3201954,3342232,3486490,3634406,3785785,3938311
AFRE,,Demographic Projection (DemProj),Defined age group,age 45; Total Region; Male+Female,2316244,2410606,2512062,2612223,2674652,2646449,2908871,3039614,3174389,3313668,3457031,3604100,3754773
AFRE,,Demographic Projection (DemProj),Defined age group,age 46; Total Region; Male+Female,2209708,2295328,2389708,2490487,2589711,2651235,2623253,2883416,3013158,3146924,3285286,3427770,3574092
AFRE,,Demographic Projection (DemProj),Defined age group,age 47; Total Region; Male+Female,2112772,2189722,2275307,2369006,2468806,2566785,2627717,2599994,2857968,2986695,3119531,3256992,3398696
AFRE,,Demographic Projection (DemProj),Defined age group,age 48; Total Region; Male+Female,2023772,2093467,2170365,2255309,2348067,2446609,2543647,2604035,2576626,2832401,2960183,3092102,3228753
AFRE,,Demographic Projection (DemProj),Defined age group,age 49; Total Region; Male+Female,1941693,2004941,2074581,2150890,2234956,2326510,2424082,2520224,2580123,2553021,2806662,2933515,3064601
AFRE,,Demographic Projection (DemProj),Defined age group,age 50; Total Region; Male+Female,1866961,1923190,1986386,2055484,2130977,2213904,2304530,2401172,2496471,2555877,2529157,2780673,2906676
AFRE,,Demographic Projection (DemProj),Defined age group,age 51; Total Region; Male+Female,1799929,1848666,1904855,1967553,2035886,2110310,2192367,2282101,2377864,2472314,2531291,2504986,2754431
AFRE,,Demographic Projection (DemProj),Defined age group,age 52; Total Region; Male+Female,1736201,1781739,1830458,1886199,1948181,2015504,2089118,2170341,2259232,2354108,2447759,2506324,2480510
AFRE,,Demographic Projection (DemProj),Defined age group,age 53; Total Region; Male+Female,1673011,1718043,1763543,1811872,1866956,1927988,1994554,2067395,2147830,2235866,2329899,2422757,2480965
AFRE,,Demographic Projection (DemProj),Defined age group,age 54; Total Region; Male+Female,1610552,1654793,1699744,1744874,1792616,1846827,1907154,1972998,2045113,2124751,2211976,2305167,2397277
AFRE,,Demographic Projection (DemProj),Defined age group,age 55; Total Region; Male+Female,1551173,1592163,1636297,1680869,1725444,1772402,1825973,1885628,1950800,2022183,2101064,2187479,2279870
AFRE,,Demographic Projection (DemProj),Defined age group,age 56; Total Region; Male+Female,1493324,1532498,1573392,1617144,1661163,1705000,1751391,1804353,1863385,1927877,1998565,2076691,2162333
AFRE,,Demographic Projection (DemProj),Defined age group,age 57; Total Region; Male+Female,1434510,1474295,1513364,1553903,1597103,1640395,1683691,1729544,1781942,1840343,1904189,1974176,2051576
AFRE,,Demographic Projection (DemProj),Defined age group,age 58; Total Region; Male+Female,1374137,1415079,1454706,1493422,1533438,1575921,1618664,1661443,1706800,1758623,1816417,1879605,1948914
AFRE,,Demographic Projection (DemProj),Defined age group,age 59; Total Region; Male+Female,1313112,1354217,1394929,1434165,1472366,1511702,1553627,1595840,1638139,1682985,1734251,1791424,1853968
AFRE,,Demographic Projection (DemProj),Defined age group,age 60; Total Region; Male+Female,1253418,1292603,1333409,1373678,1412367,1449907,1488708,1530089,1571800,1613603,1657954,1708646,1765203
AFRE,,Demographic Projection (DemProj),Defined age group,age 61; Total Region; Male+Female,1195372,1232232,1271079,1311395,1351071,1389077,1426085,1464362,1505222,1546412,1587730,1631569,1681688
AFRE,,Demographic Projection (DemProj),Defined age group,age 62; Total Region; Male+Female,1137016,1173463,1209959,1248298,1287980,1326932,1364370,1400855,1438630,1478946,1519621,1560434,1603761
AFRE,,Demographic Projection (DemProj),Defined age group,age 63; Total Region; Male+Female,1077460,1114386,1150414,1186395,1224092,1263013,1301340,1338213,1374193,1411442,1451215,1491351,1531657
AFRE,,Demographic Projection (DemProj),Defined age group,age 64; Total Region; Male+Female,1017450,1054103,1090540,1126007,1161342,1198269,1236515,1274216,1310535,1345983,1382705,1421907,1461497
AFRE,,Demographic Projection (DemProj),Defined age group,age 65; Total Region; Male+Female,958285,993347,1029457,1065261,1100032,1134591,1170826,1208390,1245467,1281201,1316113,1352277,1390897
AFRE,,Demographic Projection (DemProj),Defined age group,age 66; Total Region; Male+Female,899444,933425,967920,1003333,1038362,1072304,1106160,1141693,1178574,1214990,1250127,1284469,1320061
AFRE,,Demographic Projection (DemProj),Defined age group,age 67; Total Region; Male+Female,842706,873871,907241,941005,975574,1009692,1042873,1076016,1110843,1146997,1182733,1217233,1250987
AFRE,,Demographic Projection (DemProj),Defined age group,age 68; Total Region; Male+Female,789061,816431,846982,879569,912455,946045,979312,1011718,1044141,1078216,1113615,1148624,1182459
AFRE,,Demographic Projection (DemProj),Defined age group,age 69; Total Region; Male+Female,737739,762042,788827,818594,850251,882126,914789,947185,978800,1010454,1043744,1078334,1112577
AFRE,,Demographic Projection (DemProj),Defined age group,age 70; Total Region; Male+Female,686937,709955,733685,759727,788568,819163,850070,881777,913277,944049,974895,1007341,1041076
AFRE,,Demographic Projection (DemProj),Defined age group,age 71; Total Region; Male+Female,636945,658464,680862,703877,729042,756830,786397,816301,847022,877567,907449,937427,968980
AFRE,,Demographic Projection (DemProj),Defined age group,age 72; Total Region; Male+Female,589112,607853,628711,650355,672526,696696,723460,751961,780829,810498,840036,868967,898031
AFRE,,Demographic Projection (DemProj),Defined age group,age 73; Total Region; Male+Female,543778,559457,577557,597625,618388,639606,662807,688514,715919,743699,772278,800758,828700
AFRE,,Demographic Projection (DemProj),Defined age group,age 74; Total Region; Male+Female,500381,513667,528768,546116,565281,585065,605356,627560,652180,678434,705078,732502,759868
AFRE,,Demographic Projection (DemProj),Defined age group,age 75; Total Region; Male+Female,458300,469953,482711,497138,513637,531810,550636,569973,591148,614618,639660,665093,691296
AFRE,,Demographic Projection (DemProj),Defined age group,age 76; Total Region; Male+Female,417841,427723,438863,451006,464672,480242,497442,515284,533640,553736,576012,599783,623955
AFRE,,Demographic Projection (DemProj),Defined age group,age 77; Total Region; Male+Female,377460,387293,396698,407248,418700,431539,446202,462406,479242,496575,515555,536587,559043
AFRE,,Demographic Projection (DemProj),Defined age group,age 78; Total Region; Male+Female,336708,347271,356534,365396,375292,386003,398037,411777,426969,442763,459044,476869,496620
AFRE,,Demographic Projection (DemProj),Defined age group,age 79; Total Region; Male+Female,296580,307291,317107,325750,334021,343232,353221,364440,377244,391395,406125,421323,437963
AFRE,,Demographic Projection (DemProj),Defined age group,age 80; Total Region; Male+Female,1388907,1446978,1505916,1565557,1624805,1683431,1742556,1802909,1865524,1931593,2001964,2076639,2155560
AFRE,,Demographic Projection (DemProj),Defined age group,age 0; Total Region; Male,6153436,6264396,6376887,6488633,6597671,6706044,6814642,6922544,7024875,7123893,7222083,7320191,7418889
AFRE,,Demographic Projection (DemProj),Defined age group,age 1; Total Region; Male,5893911,6006324,6120951,6236602,6351023,6462584,6573550,6684829,6795419,6900382,7002116,7102982,7203876
AFRE,,Demographic Projection (DemProj),Defined age group,age 2; Total Region; Male,5707242,5817309,5930702,6046162,6162421,6277457,6389841,6501777,6614088,6725685,6831801,6934713,7036887
AFRE,,Demographic Projection (DemProj),Defined age group,age 3; Total Region; Male,5563011,5673245,5783613,5897217,6012719,6129037,6244325,6357118,6469542,6582326,6694500,6801203,6904799
AFRE,,Demographic Projection (DemProj),Defined age group,age 4; Total Region; Male,5427243,5539623,5649921,5760308,5873771,5989152,6105528,6221027,6334120,6446840,6560015,6672567,6779739
AFRE,,Demographic Projection (DemProj),Defined age group,age 5; Total Region; Male,5291975,5407812,5520413,5630744,5740924,5854132,5969454,6085943,6201667,6314991,6428036,6541504,6654419
AFRE,,Demographic Projection (DemProj),Defined age group,age 6; Total Region; Male,5155634,5274322,5390615,5503324,5613412,5723240,5836303,5951675,6068357,6184280,6297899,6411199,6524975
AFRE,,Demographic Projection (DemProj),Defined age group,age 7; Total Region; Male,5019790,5139509,5258647,5375028,5487455,5597139,5706788,5819866,5935402,6052255,6168425,6282266,6395832
AFRE,,Demographic Projection (DemProj),Defined age group,age 8; Total Region; Male,4884128,5005441,5125571,5244756,5360814,5472795,5582263,5691903,5805122,5920807,6037883,6154240,6268312
AFRE,,Demographic Projection (DemProj),Defined age group,age 9; Total Region; Male,4749058,4871560,4993220,5113357,5232182,5347758,5459488,5568923,5678691,5792043,5907935,6025183,6141736
AFRE,,Demographic Projection (DemProj),Defined age group,age 10; Total Region; Male,4614756,4737935,4860726,4982339,5102089,5220417,5335724,5447402,5556947,5666841,5780394,5896443,6013866
AFRE,,Demographic Projection (DemProj),Defined age group,age 11; Total Region; Male,4482930,4604724,4728135,4850833,4972042,5091293,5209343,5324575,5436348,5546003,5656085,5769787,5885999
AFRE,,Demographic Projection (DemProj),Defined age group,age 12; Total Region; Male,4355557,4473617,4595598,4718887,4841172,4961874,5080845,5198805,5314106,5425964,5535794,5646012,5759871
AFRE,,Demographic Projection (DemProj),Defined age group,age 13; Total Region; Male,4228115,4346564,4464795,4586636,4709497,4831258,4951666,5070526,5188510,5303860,5415855,5525799,5636159
AFRE,,Demographic Projection (DemProj),Defined age group,age 14; Total Region; Male,4102231,4219092,4337694,4455768,4577164,4699443,4820876,4941115,5059940,5177909,5293341,5405405,5515467
AFRE,,Demographic Projection (DemProj),Defined age group,age 15; Total Region; Male,3971883,4092956,4209940,4328343,4445931,4566673,4688563,4809749,4929868,5048594,5166571,5282003,5394148
AFRE,,Demographic Projection (DemProj),Defined age group,age 16; Total Region; Male,3841035,3962276,4083406,4200145,4317996,4434832,4555112,4676657,4797626,4917549,5036199,5154107,5269576
AFRE,,Demographic Projection (DemProj),Defined age group,age 17; Total Region; Male,3715757,3831039,3952348,4073167,4189312,4306333,4422658,4542525,4663761,4784439,4904201,5022715,5140600
AFRE,,Demographic Projection (DemProj),Defined age group,age 18; Total Region; Male,3600922,3705337,3820844,3941811,4062000,4177264,4293742,4409610,4529099,4649961,4770397,4889948,5008389
AFRE,,Demographic Projection (DemProj),Defined age group,age 19; Total Region; Male,3498946,3589991,3694934,3810092,3930395,4049639,4164329,4280295,4395725,4514764,4635310,4755462,4874891
AFRE,,Demographic Projection (DemProj),Defined age group,age 20; Total Region; Male,3405834,3487377,3579331,3683941,3798429,3917734,4036358,4150494,4265960,4380875,4499524,4619721,4739694
AFRE,,Demographic Projection (DemProj),Defined age group,age 21; Total Region; Male,3309883,3393590,3476418,3568072,3672031,3785498,3904154,4022164,4135747,4250629,4365094,4483328,4603301
AFRE,,Demographic Projection (DemProj),Defined age group,age 22; Total Region; Male,3203187,3297056,3382309,3464862,3555907,3658852,3771670,3889680,4007074,4120015,4234389,4348401,4466370
AFRE,,Demographic Projection (DemProj),Defined age group,age 23; Total Region; Male,3086268,3190017,3285524,3370490,3452462,3542520,3644834,3756997,3874355,3991056,4103452,4217335,4331069
AFRE,,Demographic Projection (DemProj),Defined age group,age 24; Total Region; Male,2963461,3072961,3178301,3273479,3357856,3438872,3528341,3630025,3741538,3858180,3974296,4086189,4199773
AFRE,,Demographic Projection (DemProj),Defined age group,age 25; Total Region; Male,2845075,2950095,3061076,3166066,3260644,3344085,3424571,3513474,3614551,3725358,3841399,3956974,4068560
AFRE,,Demographic Projection (DemProj),Defined age group,age 26; Total Region; Male,2731744,2831648,2938083,3048711,3153091,3246729,3329656,3409634,3497988,3598397,3708613,3824097,3939335
AFRE,,Demographic Projection (DemProj),Defined age group,age 27; Total Region; Male,2622298,2718233,2819489,2925602,3035609,3139027,3232123,3314542,3394016,3481760,3581614,3691290,3806419
AFRE,,Demographic Projection (DemProj),Defined age group,age 28; Total Region; Male,2519458,2608664,2705886,2806852,2912376,3021414,3124251,3216800,3298714,3377623,3464861,3564211,3673546
AFRE,,Demographic Projection (DemProj),Defined age group,age 29; Total Region; Male,2423335,2505633,2596098,2693057,2793469,2898064,3006493,3108744,3200745,3282089,3360535,3447322,3546364
AFRE,,Demographic Projection (DemProj),Defined age group,age 30; Total Region; Male,2331079,2409276,2492813,2583058,2679493,2779020,2883030,2990845,3092506,3183893,3264769,3342807,3429336
AFRE,,Demographic Projection (DemProj),Defined age group,age 31; Total Region; Male,2240040,2316794,2396180,2479541,2569310,2664900,2763869,2867288,2974479,3075487,3166356,3246818,3324636
AFRE,,Demographic Projection (DemProj),Defined age group,age 32; Total Region; Male,2148593,2225574,2303435,2382674,2465602,2554577,2649628,2748031,2850849,2957356,3057799,3148200,3228429
AFRE,,Demographic Projection (DemProj),Defined age group,age 33; Total Region; Male,2055833,2133988,2211977,2289695,2368525,2450706,2539174,2633670,2731498,2833657,2939564,3039490,3129598
AFRE,,Demographic Projection (DemProj),Defined age group,age 34; Total Region; Male,1963311,2041067,2120118,2197959,2275277,2353397,2435104,2523056,2616997,2714197,2815778,2921130,3020699
AFRE,,Demographic Projection (DemProj),Defined age group,age 35; Total Region; Male,1872399,1948455,2026982,2105849,2183269,2259876,2337530,2418750,2506185,2599523,2696174,2797225,2902175
AFRE,,Demographic Projection (DemProj),Defined age group,age 36; Total Region; Male,1783287,1857589,1934294,2012602,2091000,2167684,2243805,2320981,2401721,2488594,2581409,2677554,2778217
AFRE,,Demographic Projection (DemProj),Defined age group,age 37; Total Region; Male,1696326,1768632,1843470,1919934,1997750,2075390,2151566,2227203,2303918,2384141,2470526,2562855,2658626
AFRE,,Demographic Projection (DemProj),Defined age group,age 38; Total Region; Male,1612031,1681938,1754686,1829260,1905217,1982266,2059364,2135038,2210212,2286434,2366204,2452135,2544094
AFRE,,Demographic Projection (DemProj),Defined age group,age 39; Total Region; Male,1530217,1597978,1668258,1740723,1814777,1889964,1966452,2043021,2118217,2192896,2268683,2348034,2433619
AFRE,,Demographic Projection (DemProj),Defined age group,age 40; Total Region; Male,1376860,1516544,1584619,1654602,1726535,1799820,1874437,1950378,2026445,2101133,2175375,2250757,2329791
AFRE,,Demographic Projection (DemProj),Defined age group,age 41; Total Region; Male,1384109,1364318,1503546,1571307,1640753,1711918,1784623,1858690,1934113,2009649,2083885,2157717,2232792
AFRE,,Demographic Projection (DemProj),Defined age group,age 42; Total Region; Male,1339350,1371202,1352390,1490598,1557816,1626500,1697082,1769230,1842774,1917652,1992709,2066518,2140035
AFRE,,Demographic Projection (DemProj),Defined age group,age 43; Total Region; Male,1273361,1326607,1358893,1340504,1477483,1543945,1612047,1682072,1753699,1826703,1901097,1975711,2049188
AFRE,,Demographic Projection (DemProj),Defined age group,age 44; Total Region; Male,1206997,1261082,1314492,1346701,1328524,1464085,1529965,1597511,1667010,1738098,1810611,1884540,1958786
AFRE,,Demographic Projection (DemProj),Defined age group,age 45; Total Region; Male,1144706,1195221,1249403,1302507,1334445,1316289,1450607,1515928,1582943,1651889,1722468,1794496,1868020
AFRE,,Demographic Projection (DemProj),Defined age group,age 46; Total Region; Male,1087459,1133357,1183948,1237786,1290403,1321896,1303917,1437014,1501802,1568266,1636697,1706781,1778387
AFRE,,Demographic Projection (DemProj),Defined age group,age 47; Total Region; Male,1035177,1076477,1122443,1172694,1226019,1277984,1309180,1291396,1423297,1487532,1553479,1621407,1691054
AFRE,,Demographic Projection (DemProj),Defined age group,age 48; Total Region; Male,987096,1024493,1065848,1111493,1161244,1213896,1265351,1296267,1278706,1409388,1473102,1538542,1606020
AFRE,,Demographic Projection (DemProj),Defined age group,age 49; Total Region; Male,942788,976649,1014083,1055135,1100307,1149405,1201518,1252477,1283137,1265789,1395274,1458478,1523459
AFRE,,Demographic Projection (DemProj),Defined age group,age 50; Total Region; Male,902499,932524,966405,1003550,1044155,1088703,1137280,1188869,1239353,1269745,1252650,1380937,1443672
AFRE,,Demographic Projection (DemProj),Defined age group,age 51; Total Region; Male,866414,892358,922395,956000,992722,1032734,1076789,1124856,1175941,1225939,1256095,1239272,1366384
AFRE,,Demographic Projection (DemProj),Defined age group,age 52; Total Region; Male,832170,856334,882289,912071,945274,981431,1020981,1064556,1112135,1162705,1212238,1242166,1225659
AFRE,,Demographic Projection (DemProj),Defined age group,age 53; Total Region; Male,798424,822109,846263,871990,901399,934067,969789,1008892,1052006,1099085,1149159,1198230,1227957
AFRE,,Demographic Projection (DemProj),Defined age group,age 54; Total Region; Male,765547,788349,811991,835922,861313,890227,922488,957789,996462,1039107,1085703,1135279,1183905
AFRE,,Demographic Projection (DemProj),Defined age group,age 55; Total Region; Male,735041,755420,778157,801566,825175,850120,878660,910525,945423,983658,1025846,1071955,1121047
AFRE,,Demographic Projection (DemProj),Defined age group,age 56; Total Region; Male,706174,724801,745120,767621,790704,813889,838500,866677,898163,932649,970457,1012182,1057815
AFRE,,Demographic Projection (DemProj),Defined age group,age 57; Total Region; Male,677840,695776,714340,734441,756616,779279,802140,826426,854255,885352,919434,956807,998078
AFRE,,Demographic Projection (DemProj),Defined age group,age 58; Total Region; Male,649583,667238,685090,703447,723245,745004,767336,789882,813856,841325,872038,905706,942649
AFRE,,Demographic Projection (DemProj),Defined age group,age 59; Total Region; Male,621355,638717,656263,673901,691968,711377,732802,754807,777048,800698,827810,858129,891384
AFRE,,Demographic Projection (DemProj),Defined age group,age 60; Total Region; Male,593542,610172,627398,644718,662063,679759,698854,719948,741634,763556,786883,813625,843546
AFRE,,Demographic Projection (DemProj),Defined age group,age 61; Total Region; Male,566107,582003,598481,615467,632483,649458,666853,685636,706403,727754,749356,772348,798716
AFRE,,Demographic Projection (DemProj),Defined age group,age 62; Total Region; Male,537773,554205,569934,586165,602835,619471,636141,653236,671713,692134,713148,734415,757068
AFRE,,Demographic Projection (DemProj),Defined age group,age 63; Total Region; Male,508121,525545,541767,557240,573149,589429,605746,622109,638909,657062,677134,697794,718725
AFRE,,Demographic Projection (DemProj),Defined age group,age 64; Total Region; Male,477923,495605,512761,528689,543834,559350,575294,591289,607348,623836,641662,661370,681671
AFRE,,Demographic Projection (DemProj),Defined age group,age 65; Total Region; Male,448349,465143,482514,499318,514878,529627,544799,560404,576077,591817,607989,625473,644810
AFRE,,Demographic Projection (DemProj),Defined age group,age 66; Total Region; Male,419258,435311,451777,468752,485132,500256,514652,529477,544741,560077,575492,591334,608468
AFRE,,Demographic Projection (DemProj),Defined age group,age 67; Total Region; Male,391596,405980,421685,437741,454247,470132,484861,498901,513376,528282,543272,558346,573849
AFRE,,Demographic Projection (DemProj),Defined age group,age 68; Total Region; Male,365795,378069,392113,407387,422961,438930,454357,468683,482363,496470,511006,525631,540352
AFRE,,Demographic Projection (DemProj),Defined age group,age 69; Total Region; Male,341292,351978,363941,377568,392343,407370,422832,437789,451705,465004,478727,492872,507116
AFRE,,Demographic Projection (DemProj),Defined age group,age 70; Total Region; Male,317014,327168,337560,349143,362288,376499,391005,405944,420419,433899,446800,460117,473853
AFRE,,Demographic Projection (DemProj),Defined age group,age 71; Total Region; Male,293058,302621,312462,322501,333643,346244,359913,373880,388282,402244,415270,427749,440640
AFRE,,Demographic Projection (DemProj),Defined age group,age 72; Total Region; Male,270129,278421,287648,297117,306743,317387,329465,342574,355984,369815,383242,395786,407826
AFRE,,Demographic Projection (DemProj),Defined age group,age 73; Total Region; Male,248458,255307,263274,272110,281150,290314,300482,312020,324552,337375,350611,363476,375520
AFRE,,Demographic Projection (DemProj),Defined age group,age 74; Total Region; Male,227810,233521,240084,247685,256082,264650,273371,283049,294033,305961,318176,330790,343071
AFRE,,Demographic Projection (DemProj),Defined age group,age 75; Total Region; Male,207867,212809,218262,224502,231693,239612,247724,255989,265164,275568,286869,298451,310422
AFRE,,Demographic Projection (DemProj),Defined age group,age 76; Total Region; Male,188798,192886,197581,202745,208624,215372,222826,230469,238267,246917,256723,267375,278303
